"","x"
"1",100010.24
"2",100005.7
"3",99993
"4",99994.06
"5",99996.45
"6",99999.71
"7",99992.06
"8",99994.45
"9",100000.59
"10",100005.62
"11",99998.41
"12",100008.22
"13",99995.41
"14",99993.61
"15",100008.44
"16",100001.45
"17",100005.3
"18",99990.62
"19",99998.52
"20",99994.71
"21",100009.25
"22",100005.16
"23",100000.02
"24",99996.5
"25",99997.66
"26",99988.61
"27",100003.01
"28",99997.35
"29",100000.78
"30",100016.34
"31",100001.92
"32",99993.84
"33",99992.39
"34",99998.49
"35",99994.85
"36",100008.19
"37",100000.27
"38",99995.18
"39",99997.9
"40",100000.5
"41",100002.49
"42",100005.66
"43",99998.14
"44",100002.16
"45",1e+05
"46",99997.95
"47",99999.99
"48",99993.93
"49",100001.19
"50",99988.69
"51",99996.17
"52",100001.92
"53",100013.13
"54",100004.14
"55",100000.83
"56",100006.23
"57",99989.52
