"","x"
"1",100006.54
"2",99997.86
"3",100003.38
"4",100000.87
"5",99993.9
"6",99996.3
"7",99994.35
"8",99994.37
"9",99995.98
"10",100005.98
"11",99995.05
"12",100002.24
"13",99998.79
"14",99998.25
"15",99996.63
"16",100001.28
"17",100004.35
"18",99994.47
"19",100005.35
"20",99996.08
"21",99995.67
"22",99994.79
"23",99994.03
"24",100000.44
"25",100001.16
"26",100001.3
"27",99996.71
"28",100003.34
"29",99999.78
"30",99993.77
"31",100004.69
"32",99995.32
"33",100008.51
"34",99999.96
"35",99986.09
"36",100001.11
"37",100005.46
"38",100005.02
"39",100003.98
"40",100007.33
"41",100004.38
"42",100000.72
"43",100002.72
"44",100001.81
"45",100005.54
"46",100000.32
"47",99998.24
