"","x"
"1",100002.75
"2",100001.88
"3",100010.32
"4",100006.95
"5",100001.88
"6",99995.07
"7",100001.83
"8",99999.73
"9",100007.89
"10",100008.8
"11",99994.2
"12",100004.82
"13",100001.14
"14",100001.76
"15",99998.26
"16",100014.73
"17",100000.49
"18",100005.43
"19",99997.04
"20",100003.88
"21",99996.73
"22",100007.35
"23",99999.33
"24",100006.46
"25",100004.69
"26",100000.46
"27",100005.61
"28",100000.82
"29",99991.74
"30",100000.31
"31",99996.87
"32",99997.16
"33",100007.05
"34",99997.81
"35",100009.09
"36",100007.47
"37",99999.25
"38",100000.64
"39",100005.92
"40",99993.69
"41",100001.45
"42",99995.96
"43",99990.04
"44",100006.37
"45",99999.46
"46",100005.7
"47",100002.09
"48",99993.65
"49",100005.3
"50",99998.31
"51",100003.81
"52",100006.37
"53",100007.62
"54",100009.26
"55",99998.19
"56",100004.26
"57",100007.77
"58",99993.8
"59",99997.27
"60",100006.36
"61",100003.46
"62",99992.23
"63",100003.28
"64",99996.54
"65",99999.49
"66",99995.19
"67",99996.9
"68",100002.88
"69",99993
"70",100003.93
"71",100001.65
"72",100000.89
"73",100004.31
"74",100009.82
"75",99995.93
"76",100001.26
"77",99995.13
"78",99997.94
"79",100002.04
"80",100001.34
"81",100001
"82",100001.18
"83",100005.22
"84",100002.2
"85",100003.83
"86",100004.11
"87",99994.08
"88",100005.81
"89",100005.92
"90",100004.32
"91",99993.19
"92",100004.64
"93",100001.67
"94",100000.16
"95",100001.53
"96",99999.96
"97",99999.53
"98",100003.8
"99",100004.11
"100",100000.41
"101",100002.97
"102",99992
"103",100001.97
"104",99994.21
