"0","summary(ur.df(yt, type='none', lags=0))"
"1","
"
"1","###############################################"
"1"," "
"1","
"
"1","# Augmented Dickey-Fuller Test Unit Root Test #"
"1"," "
"1","
"
"1","###############################################"
"1"," "
"1","
"
"1","
"
"1","Test regression"
"1"," "
"1","none"
"1"," "
"1","
"
"1","
"
"1","
Call:
"
"1",""
"1","lm(formula = z.diff ~ z.lag.1 - 1)"
"1",""
"1","

"
"1",""
"1","Residuals:
"
"1","     Min "
"1","      1Q "
"1","  Median "
"1","      3Q "
"1","     Max "
"1","
"
"1","-101.222 "
"1"," -16.181 "
"1","   3.853 "
"1","  22.388 "
"1","  86.765 "
"1","
"
"1","
Coefficients:
"
"1","       "
"1"," Estimate"
"1"," Std. Error"
"1"," t value"
"1"," Pr(>|t|)"
"1","
z.lag.1"
"1"," 0.000439"
"1","   0.009316"
"1","   0.047"
"1","    0.962"
"1","
"
"1","
Residual standard error:"
"1"," "
"1","33.83"
"1"," "
"1","on"
"1"," "
"1","142"
"1"," "
"1","degrees of freedom"
"1","
"
"1","Multiple R-squared: "
"1"," "
"1","1.564e-05"
"1",",	Adjusted R-squared: "
"1"," "
"1","-0.007027"
"1"," "
"1","
F-statistic:"
"1"," "
"1","0.00222"
"1"," "
"1","on"
"1"," "
"1","1"
"1"," "
"1","and"
"1"," "
"1","142"
"1"," "
"1","DF,  p-value:"
"1"," "
"1","0.9625"
"1","
"
"1","
"
"1","
"
"1","Value of test-statistic is:"
"1"," "
"1","0.0471"
"1"," "
"1","
"
"1","
"
"1","Critical values for test statistics: 
"
"1","    "
"1","  1pct"
"1","  5pct"
"1"," 10pct"
"1","
tau1"
"1"," -2.58"
"1"," -1.95"
"1"," -1.62"
"1","
"
"1","
"
